status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;duration;cause;line;station
future;Incidents;0;bloquante;NO_SERVICE;20220829T000000;20220829T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220829T000000;20220829T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220828T000000;20220829T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220828T000000;20220829T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220826T030000;20220827T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220826T030000;20220827T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220825T030000;20220825T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220825T030000;20220825T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220824T030000;20220824T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220824T030000;20220824T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220822T000000;20220822T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220822T000000;20220822T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220821T000000;20220822T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220821T000000;20220822T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220820T000000;20220821T004500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220820T000000;20220821T004500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220818T030000;20220818T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220818T030000;20220818T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220817T030000;20220817T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220817T030000;20220817T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220816T030000;20220816T230000;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220816T030000;20220816T230000;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220807T120000;20220821T034500;0;travaux;4;Mairie de Montrouge
